"","Year","Month","Stock_lag_MV","Stock_Ew_Ret","Stock_Vw_Ret"
"422",1961,2,313602530.0625,0.0613870688705234,0.0371095752314334
"423",1961,3,323988204.6875,0.0505572693849789,0.0308935737005382
"424",1961,4,334793454.75,0.0090553871559633,0.0046384151156027
"425",1961,5,336481304.9375,0.0423481380255941,0.0258179434954374
"426",1961,6,343951650.75,-0.0426853710974262,-0.0287143262159199
"427",1961,7,333417669.625,0.0113594862888483,0.0301887378817421
"428",1961,8,344595707.8125,0.0213911416819013,0.0271318148478677
"429",1961,9,352566347.6875,-0.0296377120658135,-0.0198053169834654
"430",1961,10,345361608.625,0.0208389863760218,0.0275752966142346
"431",1961,11,355030186.125,0.0465055662759243,0.0460235566026829
"432",1961,12,369687989.4375,-0.00421871107110711,0.000110298428108371
"433",1962,1,372110925.125,-0.00805824222120541,-0.0363241866284885
"434",1962,2,358877396.4375,0.0152043009883199,0.0200922482305307
"435",1962,3,365888728.75,-0.00609718753135368,-0.00480282659596445
"436",1962,4,363335893.0625,-0.0687402419054879,-0.0636385939491114
"437",1962,5,340150225.0625,-0.098635170556553,-0.0840542825750321
"438",1962,6,310051509.1875,-0.086136520609319,-0.0827522059924427
"439",1962,7,282804113,0.0640710738434164,0.0653558308418038
"440",1962,8,323590047.5,0.0376951240232905,0.0236088700645983
"441",1962,9,329565139.3125,-0.0654916029434069,-0.0500609464999433
"442",1962,10,312734114.59375,-0.0405267491251953,0.0020228507761348
"443",1962,11,312555836.65625,0.121513569234788,0.110570455049827
"444",1962,12,344955492.96875,-0.0259732124694765,0.0124623536499737
"445",1963,1,350101060.0625,0.089566318240106,0.0518585002846236
"446",1963,2,367950965.3125,-0.0158096695607763,-0.0215393232563833
"447",1963,3,358435702.96875,0.0113742148050046,0.0330342703509543
"448",1963,4,369949735.375,0.0263653613659531,0.0476105140295716
"449",1963,5,387758439.4375,0.0323832149390244,0.0199940619734613
"450",1963,6,393625769.75,-0.0101567833132276,-0.0177396821014162
"451",1963,7,386356281.09375,-0.0064995928174001,-0.00123632944793174
"452",1963,8,385325041.65625,0.0422028060505081,0.0531657002092939
"453",1963,9,404417668.15625,-0.0109150324214792,-0.0129088288357305
